Jenis Kelamin,Umur_Group,Wilayah,Tanggapan,Tanggapan_Final,Dimensi,Sentimen
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang bermain bersama kakak kakak di cfs,senang main sama kakak kakak cfs,Lainnya,Positif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan pr yang susah sekali,pikir pr susah sekali,1. Pendidikan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat banyak lumpur,lihat banyak lumpur,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat sampah yang ada di air,lihat sampah ada air,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar helikopter lewat,dengar helikopter lewat,Lainnya,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar bantuan datang,dengar bantu datang,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",telinga sakit,telinga sakit,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu dan teh dari bantuan,minum susu teh bantu,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu dan teh dari bantuan,minum susu teh bantu,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",selama banjir minum air hujan,lama banjir minum air hujan,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit karena tersenggol,bahu sakit senggol,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit bahu karena tidur di sampan,sakit bahu tidur sampan,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir jadi sedih,banjir jadi sedih,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan main,pikir main,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bermain bersama dafi,main sama dafi,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersenangsenang dengan farhan,bersenangsenang farhan,Lainnya,Positif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat banyak sampah,lihat banyak sampah,5. Pengetahuan Bencana,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,banyak lumpur,2. Kesehatan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar orangorang kenapa banjir,dengar orangorang banjir,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum aqua,minum aqua,2. Kesehatan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,makan indomie,2. Kesehatan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit karena pegalpegal disuruh mencuci piring,bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena meninggalkan rumah,sedih tinggal rumah,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena meninggalkan rumah,sedih tinggal rumah,4. Kesejahteraan Sosial,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena mengungsi,sedih ungsi,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang mendapatkan bantuan,senang dapat bantu,5. Pengetahuan Bencana,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena memikirkan ga bisa ngaji,sedih pikir ga ngaji,1. Pendidikan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena memikirkan ga bisa ngaji,sedih pikir ga ngaji,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena nggak bisa sekolah lagi,sedih nggak sekolah,1. Pendidikan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih karena nggak bisa sekolah lagi,sedih nggak sekolah,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sekarang senang,sekarang senang,Lainnya,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",saya senang lagi hari ini,senang hari,Lainnya,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak debu,banyak debu,2. Kesehatan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,banyak lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar orangorang meninggal,dengar orangorang tinggal,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dibilangin orang tua buat ambil bantuan,dibilangin orang tua buat ambil bantu,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",di pengungsian makan mie dan minum aqua,ungsi makan mie minum aqua,2. Kesehatan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mamak angkat baju waktu banjir,suruh mamak angkat baju waktu banjir,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perkakas rumah hanyut karena banjir,perkakas rumah hanyut banjir,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rumah bolongbolong karena banjir,rumah bolongbolong banjir,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",kereta saya rusak,kereta rusak,Lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sering sakit perut,sering sakit perut,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan sampah,bersih sampah,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah karena bersihin sekolah,lelah bersihin sekolah,1. Pendidikan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah karena bersihin sekolah,lelah bersihin sekolah,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mencuci piring,suruh cuci piring,Lainnya,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh menyapu sekolah,suruh sapu sekolah,1. Pendidikan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir belanja ke warung,banjir belanja warung,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak sampai muntah,sakit perut karna makan mie terlalu banyak muntah,2. Kesehatan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan mie mentah,makan mie mentah,2. Kesehatan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh angkatangkat barang kursi,suruh angkatangkat barang kursi,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan kelas,bersih kelas,1. Pendidikan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dipaksa membersihkan dan menyapu rumah,paksa bersih sapu rumah,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh angkat air paret untuk cuci dan mandi,suruh angkat air paret cuci mandi,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengungsi ke pusung kapal,ungsi pusung kapal,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengungsi ke rumah nenek,ungsi rumah nenek,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan dari rumah ke sekolah,jalan rumah sekolah,1. Pendidikan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan dari rumah ke sekolah,jalan rumah sekolah,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,perut sakit karna makan indomie waktu banjir,2. Kesehatan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karena minum air hujan,perut sakit minum air hujan,2. Kesehatan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karena menstruasi,perut sakit menstruasi,2. Kesehatan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",waktu banjir mengangkat barangbarang,waktu banjir angkat barangbarang,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengangkat air,angkat air,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan rumah dan bersihbersih sekolah,bersih rumah bersihbersih sekolah,1. Pendidikan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan rumah dan bersihbersih sekolah,bersih rumah bersihbersih sekolah,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mengangkat baju ketika banjir,suruh angkat baju banjir,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir pergi ke sekolah dan mengaji,banjir pergi sekolah aji,1. Pendidikan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",pergi main bola sama temanteman,pergi main bola sama temanteman,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rok robek karena ditarik oleh teman,rok robek tarik teman,3. Perlindungan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut abang di makan buaya,takut abang makan buaya,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut abang di makan buaya,takut abang makan buaya,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut kelaparan,takut lapar,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut kelaparan,takut lapar,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kucing di rumah,kucing rumah,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",baju sekolah hari rabu,baju sekolah hari rabu,1. Pendidikan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",keselamatan keluarga karena mengungsi di atap takut jatuh,selamat keluarga ungsi atap takut jatuh,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kepikiran kakak dan keluarga,pikir kakak keluarga,3. Perlindungan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kepikiran kambing sapi lembu,pikir kambing sapi lembu,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ayah belum pulang waktu itu,ayah pulang waktu,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sifat orang tua lebih pusing sekarang lebih sedih,sifat orang tua lebih pusing sekarang lebih sedih,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",lingkungan rusak,lingkung rusak,Lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah rusak,rumah rusak,4. Kesejahteraan Sosial,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",banyak kegiatan beresin rumah,banyak giat resin rumah,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",papan rumah jebol pintu rumah dan kamar jebol,papan rumah jebol pintu rumah kamar jebol,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mata buram sejak banjir,mata buram sejak banjir,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mendengar teman sedih kehilangan keluarga,dengar teman sedih hilang keluarga,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah keluarga yang hanyut,rumah keluarga hanyut,3. Perlindungan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah keluarga yang hanyut,rumah keluarga hanyut,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sering mebicarakan apa saja yang hilang dengan sesama teman,sering mebicarakan apa yang hilang sama teman,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kondisi aceh tamiang,kondisi aceh tamiang,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",harga gas galon bensin naik,harga gas galon bensin naik,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",makan mie seminggu,makan mie minggu,2. Kesehatan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",roti telur nasi mie takut usus buntu,roti telur nasi mie takut usus buntu,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantuan air gelas,minum air hujan air banjir bantu air gelas,2. Kesehatan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantuan air gelas,minum air hujan air banjir bantu air gelas,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",menceritakan tinggi banjir dan kerusakan barang,cerita tinggi banjir rusa barang,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",menceritakan melihat buaya saat banjir,cerita lihat buaya banjir,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pegal,pegal,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",gatalgatal karna ga mandi dan mandi air lumpur,gatalgatal karna ga mandi mandi air lumpur,2. Kesehatan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mandi air banjir,mandi air banjir,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",nimba air,nimba air,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",bersihin rumah,bersihin rumah,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",diikat di pohon saat banjir,ikat pohon banjir,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",tidurnya sempit karna mengungsi bersama,tidur sempit karna ungsi sama,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",susah tidur jadi ngantuk,susah tidur jadi ngantuk,Lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih ada ular di dapur,sedih ular dapur,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih karena saudara meninggal,sedih saudara tinggal,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik karena takut mati kedinginan dan khawtir orang tua demam dan kelaparan,panik takut mati dingin khawtir orang tua demam lapar,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik karena takut mati kedinginan dan khawtir orang tua demam dan kelaparan,panik takut mati dingin khawtir orang tua demam lapar,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik karena takut mati kedinginan dan khawtir orang tua demam dan kelaparan,panik takut mati dingin khawtir orang tua demam lapar,6. Harapan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut kalajengking,takut kalajengking,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir karena takut tidak bisa sekolah,khawatir takut bisa sekolah,1. Pendidikan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir karena takut tidak bisa sekolah,khawatir takut bisa sekolah,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih buku dan al quran rusak,sedih buku al quran rusak,1. Pendidikan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih buku dan al quran rusak,sedih buku al quran rusak,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir dengan ibu yang lagi hamil,khawatir ibu lagi hamil,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir dengan ibu yang lagi hamil,khawatir ibu lagi hamil,6. Harapan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih dan lelah karena bersihin rumah terus,sedih lelah bersihin rumah terus,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih dan lelah karena bersihin rumah terus,sedih lelah bersihin rumah terus,3. Perlindungan Anak,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih dan lelah karena bersihin rumah terus,sedih lelah bersihin rumah terus,4. Kesejahteraan Sosial,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pinggang sakit karena tidur menekuk,pinggang sakit tidur tekuk,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit karena susah buang air kecil dan besar,perut sakit susah buang air kecil besar,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit karena susah buang air kecil dan besar,perut sakit susah buang air kecil besar,4. Kesejahteraan Sosial,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pinggang pegal,pinggang pegal,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit,perut sakit,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit pinggang karena bersihin rumah dan nyuci baju,sakit pinggang bersihin rumah nyuci baju,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit pinggang karena bersihin rumah dan nyuci baju,sakit pinggang bersihin rumah nyuci baju,4. Kesejahteraan Sosial,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",lemes karena capek,lemes capek,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit perut karena nggak makan hari,sakit perut nggak makan hari,2. Kesehatan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ngambil bantuan di sekolah,ngambil bantu sekolah,1. Pendidikan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ngambil bantuan di sekolah,ngambil bantu sekolah,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",beresin rumah karena kemauan,resin rumah mau,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",beresin rumah karena kemauan,resin rumah mau,6. Harapan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",beli barangbarang baru sama teman,beli barangbarang baru sama teman,3. Perlindungan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",beli barangbarang baru sama teman,beli barangbarang baru sama teman,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",beli barangbarang baru sama teman,beli barangbarang baru sama teman,6. Harapan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",gotong royong membersihkan sekolah,gotong royong bersih sekolah,1. Pendidikan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",gotong royong membersihkan sekolah,gotong royong bersih sekolah,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",jemur pakaian dan mandi di luar,jemur pakai mandi luar,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",disuruh mengambil bantuan yang berat sama orang tua,suruh ambil bantu berat sama orang tua,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencuci barangbarang dan baju,cuci barangbarang baju,4. Kesejahteraan Sosial,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencari kedai yang jualan lampu,cari kedai jual lampu,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencuci barang di halaman rumah,cuci barang halaman rumah,3. Perlindungan Anak,Positif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencuci barang di halaman rumah,cuci barang halaman rumah,4. Kesejahteraan Sosial,Positif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",nyari sinyal untuk ngabarin keluarga di daerah lain,nyari sinyal ngabarin keluarga daerah,3. Perlindungan Anak,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",jalan kaki ngungsi,jalan kaki ngungsi,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencari makan,cari makan,2. Kesehatan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mencari lilin,cari lilin,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sejak ada banjir mengaji di mushola karena ada bantuan guru ngaji kkn,sejak banjir aji mushola ada bantu guru ngaji kkn,1. Pendidikan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sejak ada banjir mengaji di mushola karena ada bantuan guru ngaji kkn,sejak banjir aji mushola ada bantu guru ngaji kkn,5. Pengetahuan Bencana,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sering ke kedai beli cairan pembersih baju,sering kedai beli cair bersih baju,Lainnya,Netral
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",trauma takut air naik lagi,trauma takut air naik,3. Perlindungan Anak,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",panik kalau hujan,panik kalau hujan,Lainnya,Netral
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",peliharaan rusak dan mati,pelihara rusak mati,Lainnya,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",takut rumah hancur,takut rumah hancur,3. Perlindungan Anak,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",takut rumah hancur,takut rumah hancur,4. Kesejahteraan Sosial,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",sekolah rusak asbes sekolah jebol,sekolah rusak asbes sekolah jebol,1. Pendidikan,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",melihat rumah jadi rusak dan berserakan,lihat rumah jadi rusak sera,4. Kesejahteraan Sosial,Negatif
Laki laki,Tidak Diisi,"Desa Sekoci, Langkat",kegiatan mamak berubah dulu ngarit rumput sekarang gak ngarit lagi karena kambing mati,giat mamak ubah dulu ngarit rumput sekarang gak ngarit karena kambing mati,Lainnya,Netral
